Cust Id,Cust Name,City Id,Category
12346,Cust-12346,1840014559,Generation X
12347,Cust-12347,1840020707,Millennials
12348,Cust-12348,1840019304,Generation Z
12349,Cust-12349,1840020483,Generation X
12350,Cust-12350,1840014559,Millennials
12352,Cust-12352,1840000466,Generation Z
12353,Cust-12353,1840015044,Generation X
12354,Cust-12354,1840003869,Millennials
12355,Cust-12355,1840034249,Generation Z
12356,Cust-12356,1840021224,Generation X
12357,Cust-12357,1840002928,Millennials
12358,Cust-12358,1840023252,Generation Z
12359,Cust-12359,1840000572,Generation X
12360,Cust-12360,1840002344,Millennials
12361,Cust-12361,1840021728,Generation Z
12362,Cust-12362,1840004850,Generation X
12363,Cust-12363,1840015988,Millennials
12364,Cust-12364,1840004836,Generation Z
12365,Cust-12365,1840008261,Generation X
12367,Cust-12367,1840002915,Millennials
12370,Cust-12370,1840020491,Generation Z
12371,Cust-12371,1840034000,Generation X
12372,Cust-12372,1840014486,Millennials
12373,Cust-12373,1840006009,Generation Z
12374,Cust-12374,1840014559,Generation X
12375,Cust-12375,1840020474,Millennials
12377,Cust-12377,1840011171,Generation Z
12378,Cust-12378,1840021728,Generation X
12379,Cust-12379,1840015120,Millennials
12380,Cust-12380,1840023252,Generation Z
12381,Cust-12381,1840020568,Generation X
12383,Cust-12383,1840015970,Millennials
12384,Cust-12384,1840020567,Generation Z
12386,Cust-12386,1840002344,Generation X
12388,Cust-12388,1840001185,Millennials
12390,Cust-12390,1840018789,Generation Z
12391,Cust-12391,1840002400,Generation X
12393,Cust-12393,1840019176,Millennials
12394,Cust-12394,1840003046,Generation Z
12395,Cust-12395,1840034016,Generation X
12397,Cust-12397,1840020662,Millennials
12398,Cust-12398,1840008353,Generation Z
12399,Cust-12399,1840021672,Generation X
12401,Cust-12401,1840020550,Millennials
12402,Cust-12402,1840020292,Generation Z
12403,Cust-12403,1840009904,Generation X
12405,Cust-12405,1840018825,Millennials
12406,Cust-12406,1840004850,Generation Z
12407,Cust-12407,1840020551,Generation X
12408,Cust-12408,1840003718,Millennials
12409,Cust-12409,1840019390,Generation Z
12410,Cust-12410,1840003798,Generation X
12412,Cust-12412,1840014022,Millennials
12413,Cust-12413,1840020654,Generation Z
12414,Cust-12414,1840020007,Generation X
12415,Cust-12415,1840004851,Millennials
12417,Cust-12417,1840014895,Generation Z
12418,Cust-12418,1840015457,Generation X
12420,Cust-12420,1840004828,Millennials
12421,Cust-12421,1840020491,Generation Z
12422,Cust-12422,1840015044,Generation X
12423,Cust-12423,1840020604,Millennials
12424,Cust-12424,1840033743,Generation Z
12425,Cust-12425,1840000386,Generation X
12426,Cust-12426,1840020491,Millennials
12427,Cust-12427,1840003185,Generation Z
12428,Cust-12428,1840000494,Generation X
12429,Cust-12429,1840023252,Millennials
12430,Cust-12430,1840014524,Generation Z
12431,Cust-12431,1840021990,Generation X
12432,Cust-12432,1840008353,Millennials
12433,Cust-12433,1840021024,Generation Z
12434,Cust-12434,1840020709,Generation X
12435,Cust-12435,1840015072,Millennials
12436,Cust-12436,1840015064,Generation Z
12437,Cust-12437,1840002915,Generation X
12438,Cust-12438,1840003172,Millennials
12441,Cust-12441,1840003478,Generation Z
12442,Cust-12442,1840000500,Generation X
12444,Cust-12444,1840020854,Millennials
12445,Cust-12445,1840021728,Generation Z
12446,Cust-12446,1840001839,Generation X
12447,Cust-12447,1840003289,Millennials
12448,Cust-12448,1840013730,Generation Z
12449,Cust-12449,1840030815,Generation X
12450,Cust-12450,1840020007,Millennials
12451,Cust-12451,1840019310,Generation Z
12452,Cust-12452,1840021990,Generation X
12453,Cust-12453,1840014559,Millennials
12454,Cust-12454,1840018905,Generation Z
12455,Cust-12455,1840001044,Generation X
12456,Cust-12456,1840009241,Millennials
12457,Cust-12457,1840003563,Generation Z
12458,Cust-12458,1840004851,Generation X
12461,Cust-12461,1840015031,Millennials
12462,Cust-12462,1840033743,Generation Z
12463,Cust-12463,1840002928,Generation X
12464,Cust-12464,1840021639,Millennials
12465,Cust-12465,1840003858,Generation Z
12468,Cust-12468,1840001044,Generation X
12471,Cust-12471,1840015109,Millennials
12472,Cust-12472,1840015163,Generation Z
12473,Cust-12473,1840015982,Generation X
12474,Cust-12474,1840019390,Millennials
12475,Cust-12475,1840020580,Generation Z
12476,Cust-12476,1840003858,Generation X
12477,Cust-12477,1840015005,Millennials
12478,Cust-12478,1840013501,Generation Z
12479,Cust-12479,1840004836,Generation X
12480,Cust-12480,1840034030,Millennials
12481,Cust-12481,1840015457,Generation Z
12483,Cust-12483,1840015120,Generation X
12484,Cust-12484,1840003971,Millennials
12488,Cust-12488,1840015130,Generation Z
12489,Cust-12489,1840006060,Generation X
12490,Cust-12490,1840020474,Millennials
12491,Cust-12491,1840021117,Generation Z
12492,Cust-12492,1840020490,Generation X
12493,Cust-12493,1840005613,Millennials
12494,Cust-12494,1840022101,Generation Z
12497,Cust-12497,1840020491,Generation X
12498,Cust-12498,1840001698,Millennials
12500,Cust-12500,1840015031,Generation Z
12501,Cust-12501,1840020925,Generation X
12502,Cust-12502,1840021002,Millennials
12503,Cust-12503,1840021632,Generation Z
12504,Cust-12504,1840029462,Generation X
12505,Cust-12505,1840034002,Millennials
12506,Cust-12506,1840015576,Generation Z
12507,Cust-12507,1840019590,Generation X
12508,Cust-12508,1840008261,Millennials
12509,Cust-12509,1840005613,Generation Z
12510,Cust-12510,1840015977,Generation X
12512,Cust-12512,1840008353,Millennials
12513,Cust-12513,1840036155,Generation Z
12514,Cust-12514,1840021829,Generation X
12515,Cust-12515,1840019438,Millennials
12516,Cust-12516,1840015324,Generation Z
12517,Cust-12517,1840022220,Generation X
12518,Cust-12518,1840013305,Millennials
12519,Cust-12519,1840004851,Generation Z
12520,Cust-12520,1840007081,Generation X
12521,Cust-12521,1840019422,Millennials
12522,Cust-12522,1840014227,Generation Z
12523,Cust-12523,1840020553,Generation X
12524,Cust-12524,1840014497,Millennials
12526,Cust-12526,1840003102,Generation Z
12527,Cust-12527,1840020604,Generation X
12528,Cust-12528,1840021093,Millennials
12530,Cust-12530,1840034016,Generation Z
12531,Cust-12531,1840019590,Generation X
12532,Cust-12532,1840027142,Millennials
12534,Cust-12534,1840003798,Generation Z
12535,Cust-12535,1840020696,Generation X
12536,Cust-12536,1840033999,Millennials
12538,Cust-12538,1840003172,Generation Z
12539,Cust-12539,1840003289,Generation X
12540,Cust-12540,1840003869,Millennials
12541,Cust-12541,1840023252,Generation Z
12544,Cust-12544,1840021383,Generation X
12545,Cust-12545,1840014569,Millennials
12546,Cust-12546,1840001839,Generation Z
12547,Cust-12547,1840034249,Generation X
12548,Cust-12548,1840019156,Millennials
12550,Cust-12550,1840001651,Generation Z
12551,Cust-12551,1840019718,Generation X
12552,Cust-12552,1840015149,Millennials
12553,Cust-12553,1840019322,Generation Z
12556,Cust-12556,1840013305,Generation X
12557,Cust-12557,1840019570,Millennials
12559,Cust-12559,1840021829,Generation Z
12560,Cust-12560,1840014569,Generation X
12561,Cust-12561,1840000494,Millennials
12562,Cust-12562,1840004851,Generation Z
12564,Cust-12564,1840000434,Generation X
12565,Cust-12565,1840009373,Millennials
12566,Cust-12566,1840002400,Generation Z
12567,Cust-12567,1840019941,Generation X
12569,Cust-12569,1840013947,Millennials
12571,Cust-12571,1840034016,Generation Z
12572,Cust-12572,1840019422,Generation X
12573,Cust-12573,1840033832,Millennials
12574,Cust-12574,1840002928,Generation Z
12576,Cust-12576,1840006211,Generation X
12577,Cust-12577,1840009315,Millennials
12578,Cust-12578,1840021129,Generation Z
12579,Cust-12579,1840030815,Generation X
12580,Cust-12580,1840015149,Millennials
12581,Cust-12581,1840020567,Generation Z
12582,Cust-12582,1840019310,Generation X
12583,Cust-12583,1840000494,Millennials
12584,Cust-12584,1840000466,Generation Z
12585,Cust-12585,1840003798,Generation X
12586,Cust-12586,1840013941,Millennials
12587,Cust-12587,1840004850,Generation Z
12588,Cust-12588,1840020925,Generation X
12589,Cust-12589,1840002915,Millennials
12590,Cust-12590,1840019422,Generation Z
12591,Cust-12591,1840015457,Generation X
12592,Cust-12592,1840004850,Millennials
12593,Cust-12593,1840021543,Generation Z
12594,Cust-12594,1840021728,Generation X
12596,Cust-12596,1840019176,Millennials
12597,Cust-12597,1840003858,Generation Z
12598,Cust-12598,1840021632,Generation X
12599,Cust-12599,1840014421,Millennials
12600,Cust-12600,1840004851,Generation Z
12601,Cust-12601,1840020319,Generation X
12602,Cust-12602,1840021383,Millennials
12603,Cust-12603,1840000327,Generation Z
12604,Cust-12604,1840000466,Generation X
12605,Cust-12605,1840015064,Millennials
12609,Cust-12609,1840001254,Generation Z
12610,Cust-12610,1840014421,Generation X
12611,Cust-12611,1840015064,Millennials
12612,Cust-12612,1840003718,Generation Z
12613,Cust-12613,1840015988,Generation X
12614,Cust-12614,1840020553,Millennials
12615,Cust-12615,1840021844,Generation Z
12616,Cust-12616,1840022101,Generation X
12617,Cust-12617,1840013356,Millennials
12618,Cust-12618,1840018410,Generation Z
12619,Cust-12619,1840019438,Generation X
12620,Cust-12620,1630035605,Millennials
12621,Cust-12621,1840001698,Generation Z
12622,Cust-12622,1840013730,Generation X
12623,Cust-12623,1840018794,Millennials
12624,Cust-12624,1840013411,Generation Z
12625,Cust-12625,1840033743,Generation X
12626,Cust-12626,1840002791,Millennials
